OrderID,CustomerID,OrderDate,OrderYear,OrderMonth,OrderYearMonth,OrderDayOfWeek,Status,IsReturned,ProductName,Category,UnitPrice,Quantity,Discount,OrderValue,PaymentMethod,CustomerSegment,Age,City
500001,103695,2025-08-28,2025,8,2025-08,목요일,Completed,0,USB-C Cable,Accessories,9.0,4.0,10.0,32.0,Gateway,Regular,36.0,Qom
500002,107935,2024-05-31,2024,5,2024-05,금요일,Completed,0,Backpack,Accessories,42.0,1.0,10.0,38.0,Wallet,Regular,49.0,Kerman
500003,105141,2025-08-10,2025,8,2025-08,일요일,Completed,0,Mechanical Keyboard,Electronics,62.0,1.0,20.0,50.0,CardToCard,Regular,36.0,Tehran
500004,108780,2024-10-11,2024,10,2024-10,금요일,Completed,0,Office Chair,Home Office,180.0,1.0,10.0,162.0,Gateway,Regular,45.0,Shiraz
500005,101187,2024-02-19,2024,2,2024-02,월요일,Completed,0,Phone Case,Accessories,14.0,2.0,0.0,28.0,Gateway,Regular,24.0,Karaj
500006,105545,2024-07-16,2024,7,2024-07,화요일,Returned,1,Desk Lamp,Home Office,32.0,4.0,0.0,128.0,Gateway,New,28.0,Tehran
500007,106418,2025-10-15,2025,10,2025-10,수요일,Completed,0,HDMI Cable,Accessories,11.0,1.0,5.0,10.0,Wallet,New,23.0,Isfahan
500008,108755,2024-12-03,2024,12,2024-12,화요일,Completed,0,Backpack,Accessories,42.0,1.0,0.0,42.0,Gateway,Regular,41.0,Mashhad
500009,105133,2025-04-15,2025,4,2025-04,화요일,Completed,0,Power Bank,Electronics,35.0,1.0,10.0,32.0,Gateway,New,40.0,Isfahan
500011,102192,2024-03-21,2024,3,2024-03,목요일,Completed,0,Power Bank,Electronics,35.0,3.0,30.0,74.0,Gateway,New,37.0,Tehran
500012,102921,2024-07-25,2024,7,2024-07,목요일,Completed,0,Wireless Mouse,Electronics,18.0,1.0,5.0,17.0,Wallet,VIP,33.0,Tabriz
500013,101803,2025-02-12,2025,2,2025-02,수요일,Completed,0,Laptop Stand,Accessories,28.0,3.0,10.0,76.0,CardToCard,Regular,39.0,Isfahan
500014,108853,2026-01-01,2026,1,2026-01,목요일,Completed,0,Wireless Mouse,Electronics,18.0,2.0,5.0,34.0,CardToCard,New,44.0,Tehran
500015,102106,2025-10-21,2025,10,2025-10,화요일,Completed,0,HDMI Cable,Accessories,11.0,1.0,0.0,11.0,Wallet,Regular,31.0,Tehran
500016,104175,2024-05-18,2024,5,2024-05,토요일,Completed,0,Mechanical Keyboard,Electronics,62.0,3.0,0.0,186.0,Gateway,New,37.0,Rasht
500017,101158,2024-03-02,2024,3,2024-03,토요일,Completed,0,Wireless Mouse,Electronics,18.0,2.0,5.0,34.0,Gateway,VIP,58.0,Tehran
500018,109942,2024-07-13,2024,7,2024-07,토요일,Completed,0,Notebook,Stationery,7.0,2.0,0.0,14.0,Gateway,New,48.0,Rasht
500019,104270,2026-01-06,2026,1,2026-01,화요일,Completed,0,Notebook,Stationery,7.0,1.0,0.0,7.0,CardToCard,Regular,42.0,Ahvaz
500020,109355,2025-03-21,2025,3,2025-03,금요일,Completed,0,HDMI Cable,Accessories,11.0,2.0,20.0,18.0,Cash,New,37.0,Rasht
500021,105138,2025-11-28,2025,11,2025-11,금요일,Completed,0,HDMI Cable,Accessories,11.0,2.0,0.0,22.0,Gateway,Regular,49.0,Karaj
500022,105368,2024-11-15,2024,11,2024-11,금요일,Completed,0,Notebook,Stationery,7.0,2.0,0.0,14.0,Gateway,Regular,45.0,Isfahan
500023,108138,2025-05-25,2025,5,2025-05,일요일,Completed,0,Webcam,Electronics,48.0,1.0,20.0,38.0,Cash,New,61.0,Tehran
500024,107845,2025-05-28,2025,5,2025-05,수요일,Completed,0,Notebook,Stationery,7.0,3.0,0.0,21.0,Gateway,Regular,26.0,Tehran
500025,109039,2025-06-25,2025,6,2025-06,수요일,Completed,0,Notebook,Stationery,7.0,1.0,15.0,6.0,Gateway,New,65.0,Ahvaz
500026,107998,2025-02-10,2025,2,2025-02,월요일,Completed,0,Fitness Band,Wearables,55.0,2.0,5.0,104.0,CardToCard,New,34.0,Mashhad
500027,108982,2024-07-25,2024,7,2024-07,목요일,Completed,0,Webcam,Electronics,48.0,2.0,10.0,86.0,Cash,Regular,43.0,Tehran
500028,103563,2025-01-05,2025,1,2025-01,일요일,Completed,0,Mechanical Keyboard,Electronics,62.0,1.0,0.0,62.0,Gateway,Regular,38.0,Ahvaz
500029,100210,2026-05-29,2026,5,2026-05,금요일,Completed,0,Mechanical Keyboard,Electronics,62.0,1.0,10.0,56.0,Wallet,Regular,55.0,Tehran
500030,104615,2024-08-23,2024,8,2024-08,금요일,Completed,0,Tablet,Electronics,260.0,2.0,5.0,494.0,CardToCard,VIP,44.0,Tehran
500031,101683,2025-09-18,2025,9,2025-09,목요일,Completed,0,Desk Lamp,Home Office,32.0,2.0,0.0,64.0,Gateway,Regular,19.0,Shiraz
500032,109032,2026-04-21,2026,4,2026-04,화요일,Completed,0,Phone Case,Accessories,14.0,2.0,0.0,28.0,Wallet,Regular,32.0,Karaj
500033,107365,2025-05-04,2025,5,2025-05,일요일,Completed,0,Headphones,Electronics,75.0,3.0,5.0,214.0,Gateway,Regular,65.0,Kerman
500034,105082,2025-02-26,2025,2,2025-02,수요일,Completed,0,Power Bank,Electronics,35.0,2.0,5.0,66.0,Gateway,New,42.0,Tehran
500035,106013,2024-04-14,2024,4,2024-04,일요일,Completed,0,Phone Case,Accessories,14.0,5.0,10.0,63.0,Wallet,Regular,49.0,Tabriz
500037,107822,2026-03-10,2026,3,2026-03,화요일,Completed,0,Notebook,Stationery,7.0,1.0,0.0,7.0,Gateway,VIP,42.0,Tehran
500038,101279,2026-06-06,2026,6,2026-06,토요일,Completed,0,Wireless Mouse,Electronics,18.0,4.0,15.0,61.0,Gateway,Regular,18.0,Karaj
500039,107601,2024-06-23,2024,6,2024-06,일요일,Returned,1,Notebook,Stationery,7.0,5.0,5.0,33.0,Gateway,New,24.0,Karaj
500041,104458,2024-11-16,2024,11,2024-11,토요일,Completed,0,Fitness Band,Wearables,55.0,2.0,30.0,77.0,Gateway,Regular,19.0,Tehran
500042,104499,2025-06-19,2025,6,2025-06,목요일,Completed,0,Webcam,Electronics,48.0,1.0,10.0,43.0,Gateway,Regular,29.0,Kerman
500043,109584,2024-07-12,2024,7,2024-07,금요일,Completed,0,Gaming Controller,Gaming,68.0,1.0,0.0,68.0,Gateway,Regular,18.0,Tabriz
500044,104936,2024-08-02,2024,8,2024-08,금요일,Completed,0,Laptop Stand,Accessories,28.0,1.0,0.0,28.0,CardToCard,Regular,46.0,Mashhad
500045,100241,2025-06-18,2025,6,2025-06,수요일,Completed,0,HDMI Cable,Accessories,11.0,2.0,5.0,21.0,Gateway,Regular,24.0,Tehran
500046,107541,2025-02-22,2025,2,2025-02,토요일,Completed,0,Mechanical Keyboard,Electronics,62.0,1.0,5.0,59.0,CardToCard,Regular,49.0,Mashhad
500047,109317,2026-05-16,2026,5,2026-05,토요일,Completed,0,USB-C Cable,Accessories,9.0,3.0,0.0,27.0,CardToCard,Regular,65.0,Tabriz
